step,seed,group,perplexity,loss,ece,conf_on_errors,high_conf_error_frac
1000,123,A,314.0686673800779,5.749611647923787,0.009860623241250028,0.16015899,0.003486183703532841
2000,123,A,162.8322025498047,5.092720238367717,0.009129934809566325,0.17409937,0.005829990658827408
3000,123,A,120.63524808364573,4.7927715142567955,0.010040436040342247,0.18337871,0.005676485554361961
4000,123,A,97.98523670120042,4.5848168214162195,0.01141405700858122,0.19694127,0.007940960434005587
5000,123,A,84.06781417090639,4.43162378470103,0.008905030263015644,0.19797972,0.0072522349747735524
6000,123,A,75.63011600479659,4.325854563713074,0.008007198190377434,0.20311467,0.007921088028695263
7000,123,A,69.63850200155899,4.243317604064941,0.010443162637598374,0.2137951,0.010251647801624585
8000,123,A,65.55704492213125,4.182920678456624,0.011404074812247094,0.21908069,0.010120311824881484
9000,123,A,62.63026149184659,4.137248571713766,0.009089474709205377,0.21640123,0.011224689425804558
10000,123,A,59.892970177903386,4.092559138933818,0.010746543298359789,0.21959011,0.0108778672974105
11000,123,A,57.80543279808165,4.0570827643076575,0.008210878839679796,0.21749584,0.010550648676378786
12000,123,A,56.29368022000893,4.030582276980082,0.008288506183748937,0.22055592,0.011184320836619492
13000,123,A,55.059368773304676,4.008412035306295,0.011251236286038658,0.2266265,0.012372829615046757
14000,123,A,53.8152331256116,3.9855565706888836,0.01276243540196637,0.22876976,0.011606093198929439
15000,123,A,52.93004400960094,3.968971117337545,0.010300948012108894,0.22633684,0.012164961396020338
16000,123,A,52.378144678271404,3.958489418029785,0.010720379181157539,0.227395,0.012565701475104087
17000,123,A,51.94894586346467,3.950261425971985,0.010697462636660895,0.22789359,0.01220056726348823
18000,123,A,51.669545637308254,3.944868548711141,0.009930188235114606,0.2281933,0.012546348464913662
19000,123,A,51.52459602800962,3.942059286435445,0.009825021862204568,0.22741626,0.01237196527786527
20000,123,A,51.49736170569021,3.9415305773417155,0.009511178147559075,0.2269156,0.01230205223175479
