step,seed,group,perplexity,loss,ece,conf_on_errors,high_conf_error_frac,disc_accuracy,mean_ns_correct,mean_ns_incorrect,gate_scale
500,123,G,49.74575672650121,3.9069251680374144,0.009956304138781976,0.22817104,0.012277480157224591,0.6642941176470588,0.405,0.5757,0.5
1000,123,G,49.76162337330911,3.907244071960449,0.010248617153541714,0.22825317,0.012346053739860224,0.675171568627451,0.3933,0.5854,0.5
1500,123,G,49.42585586098591,3.9004736852645876,0.00973565090403839,0.2280451,0.012260390966027709,0.673671568627451,0.389,0.5835,0.20816342532634735
2000,123,G,49.36623278091799,3.89926664352417,0.009377744824278588,0.227895,0.012280928128486744,0.6788627450980392,0.3923,0.59,0.09516211599111557
2500,123,G,49.35204229258015,3.898979148864746,0.009232126086365942,0.22784998,0.012313438501131136,0.681514705882353,0.3933,0.592,0.05115625262260437
3000,123,G,49.34724464066839,3.8988819313049317,0.009143524487813312,0.2278127,0.01225890193637516,0.681578431372549,0.3909,0.592,0.0315372534096241
3500,123,G,49.345137285139586,3.898839225769043,0.009231086413065592,0.22780237,0.01225084632550514,0.6812009803921568,0.3887,0.59,0.021187184378504753
4000,123,G,49.34430010924999,3.8988222599029543,0.009083250718958227,0.22779316,0.01222788960743237,0.6805686274509803,0.3855,0.589,0.014915447682142258
4500,123,G,49.34357070957002,3.89880747795105,0.009022493960810642,0.22778544,0.012235201250844397,0.6826274509803921,0.3855,0.591,0.011002149432897568
5000,123,G,49.343163191604894,3.8987992191314698,0.009029163304497214,0.2277839,0.012243163032175305,0.6842058823529412,0.387,0.5933,0.008262282237410545
