layer,component,henrici,curvature
0,W_Q,0.7685817125503948,18.639150619506836
0,W_K,0.7631730971352398,18.687353134155273
0,W_V,0.719553941814284,8.998482704162598
0,W_O,0.752461335510323,14.921378135681152
0,FFN(W2@W1),0.8138416441614923,43.93340301513672
1,W_Q,0.7666772979276226,20.770723342895508
1,W_K,0.7744064504229952,28.74188995361328
1,W_V,0.7242568666831624,9.09093189239502
1,W_O,0.734272546447545,9.377419471740723
1,FFN(W2@W1),0.7218482062282574,27.541765213012695
2,W_Q,0.763646564068396,19.576356887817383
2,W_K,0.7704069803430539,25.03485679626465
2,W_V,0.7264202442357912,9.266439437866211
2,W_O,0.7436764366313042,9.59044075012207
2,FFN(W2@W1),0.7139002284639127,28.40094566345215
3,W_Q,0.7768445278456275,19.176223754882812
3,W_K,0.7680959245513063,19.8475341796875
3,W_V,0.7214796536140927,10.540611267089844
3,W_O,0.723099601545074,10.72941780090332
3,FFN(W2@W1),0.7253525012446123,39.06108093261719
4,W_Q,0.7717957479646311,18.11033821105957
4,W_K,0.7677634789032936,18.913188934326172
4,W_V,0.7309114326526529,12.540892601013184
4,W_O,0.7454772975920103,14.170696258544922
4,FFN(W2@W1),0.754422415200768,47.03313446044922
5,W_Q,0.7708513070461411,18.936059951782227
5,W_K,0.7667251033949252,20.82884979248047
5,W_V,0.7372740785492321,14.905410766601562
5,W_O,0.7498396175426001,15.687712669372559
5,FFN(W2@W1),0.7411729131407692,49.9705924987793
