noise_type,strength,perplexity,accuracy,conf_on_errors,high_conf_frac,ece
growth,0.0,49.572788218942364,0.35441666666666666,0.22730312,0.012543755077866954,0.009158881449231918
growth,0.1,49.57858865050734,0.35443137254901963,0.22726995,0.012528854331186976,0.009136705435958577
growth,0.5,49.70131654620693,0.3543088235294118,0.22708386,0.01232908951495965,0.0092392464058072
growth,1.0,50.084294487550146,0.35340196078431374,0.22625342,0.01201613270055949,0.008530440068712418
growth,2.0,51.685511365821746,0.3505245098039216,0.2231105,0.01124587714067913,0.007997042151058434
growth,5.0,66.73714566609819,0.3296078431372549,0.19978364,0.0059520327581164085,0.026404450117373
growth,10.0,189.0532935269577,0.2586078431372549,0.1288057,0.0018447012774060459,0.08885371917369318
no_growth,0.0,49.572788218942364,0.35441666666666666,0.22730312,0.012543755077866954,0.009158881449231918
no_growth,0.1,49.58589966913343,0.3542843137254902,0.22723103,0.012488043362737804,0.009012955366396434
no_growth,0.5,49.718432617422636,0.3541421568627451,0.22707477,0.01228036886645668,0.009206234782349828
no_growth,1.0,50.07908035160706,0.3530686274509804,0.22660519,0.012070559352599755,0.008818714758929085
no_growth,2.0,51.577690671870194,0.3502205882352941,0.22497134,0.011444306137075177,0.008079230514227168
no_growth,5.0,68.33236477268966,0.32032352941176473,0.21153167,0.00801275116476986,0.011415705624748688
no_growth,10.0,339.1840929035537,0.1462843137254902,0.21446997,0.027251116801984405,0.09348363076939302
normal,0.0,49.572788218942364,0.35441666666666666,0.22730312,0.012543755077866954,0.009158881449231918
normal,0.1,49.57912908473131,0.354421568627451,0.2273754,0.012521070935017996,0.009079233767939527
normal,0.5,49.743804557346905,0.3540049019607843,0.22755896,0.012452288990233946,0.009522031092176244
normal,1.0,50.27192190783691,0.3532107843137255,0.22707987,0.012035317746030543,0.009534852906769403
normal,2.0,52.53713120753446,0.34922549019607846,0.22384211,0.010839271456334081,0.0089547497618432
normal,5.0,75.21794935237516,0.31926960784313724,0.19389404,0.006048866197639502,0.026868631101122083
normal,10.0,256.3781051172683,0.23441176470588235,0.10907152,0.001254962223075938,0.09533830322354447
